*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   7  7.866e+03  0.000e+00  1.967e+03  3.934e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.967e+03  6.611e+02  0.000e+00  0.000e+00
   8  7.351e+03  0.000e+00  1.421e+03  2.843e+03  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  1.066e+03  5.149e+02  0.000e+00  0.000e+00
   9  7.074e+03  0.000e+00  1.010e+03  2.020e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.010e+03  2.766e+02  0.000e+00  0.000e+00
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  6.834e+03  0.000e+00  7.936e+02  1.587e+03  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  3.472e+02  2.401e+02  0.000e+00  0.000e+00
  11  6.380e+03  0.000e+00  4.947e+02  9.895e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.947e+02  4.536e+02  0.000e+00  0.000e+00
  12  6.337e+03  0.000e+00  7.185e+01  1.437e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.185e+01  4.325e+01  0.000e+00  0.000e+00
  13  6.316e+03  0.000e+00  2.092e+01  4.184e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.092e+01  2.081e+01  0.000e+00  0.000e+00
  14  6.316e+03  0.000e+00  1.008e-01  2.015e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.008e-01  1.008e-01  0.000e+00  0.000e+00
  15  6.316e+03  0.000e+00  9.189e-06  1.838e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  9.189e-06  8.763e-06  0.000e+00  0.000e+00
  16  6.316e+03  0.000e+00  1.254e-07  2.508e-07  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.254e-07  1.085e-07  0.000e+00  0.000e+00
  17  6.316e+03  0.000e+00  6.024e-09  1.205e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.024e-09  4.463e-09  0.000e+00  0.000e+00
*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.003e+07  0.000e+00  3.633e+07  7.224e+07  1.000e-09  1.000e-09  0.5000  1.768e+00  0.000e+00  0.000e+00  2.720e+07  2.632e+07  0.000e+00  0.000e+00
   1  2.496e+06  0.000e+00  1.002e+07  1.988e+07  1.000e-09  1.000e-09  0.5000  8.838e-01  0.000e+00  0.000e+00  7.495e+06  7.535e+06  0.000e+00  0.000e+00
   2  6.288e+05  0.000e+00  2.485e+06  4.928e+06  1.000e-09  1.000e-09  0.5000  4.419e-01  0.000e+00  0.000e+00  1.859e+06  1.867e+06  0.000e+00  0.000e+00
   3  1.606e+04  0.000e+00  6.202e+05  1.240e+06  1.000e-09  1.000e-09  1.0000  2.209e-01  0.000e+00  0.000e+00  6.202e+05  6.127e+05  0.000e+00  0.000e+00
   4  1.436e+04  0.000e+00  9.920e+03  1.984e+04  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  7.440e+03  1.706e+03  0.000e+00  0.000e+00
   5  9.540e+03  0.000e+00  7.775e+03  1.555e+04  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  5.831e+03  4.816e+03  0.000e+00  0.000e+00
   6  7.710e+03  0.000e+00  2.908e+03  5.815e+03  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  2.181e+03  1.830e+03  0.000e+00  0.000e+00
   7  7.167e+03  0.000e+00  1.059e+03  2.119e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.059e+03  5.430e+02  0.000e+00  0.000e+00
   8  7.021e+03  0.000e+00  6.635e+02  1.327e+03  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  4.976e+02  1.468e+02  0.000e+00  0.000e+00
   9  6.586e+03  0.000e+00  4.761e+02  9.522e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.761e+02  4.347e+02  0.000e+00  0.000e+00
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  6.578e+03  0.000e+00  1.115e+02  2.231e+02  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  2.614e+01  8.007e+00  0.000e+00  0.000e+00
  11  6.531e+03  0.000e+00  6.119e+01  1.224e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.119e+01  4.690e+01  0.000e+00  0.000e+00
  12  6.521e+03  0.000e+00  1.545e+01  3.091e+01  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  1.159e+01  9.529e+00  0.000e+00  0.000e+00
  13  6.518e+03  0.000e+00  5.229e+00  1.046e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  5.229e+00  3.303e+00  0.000e+00  0.000e+00
  14  6.518e+03  0.000e+00  3.055e+00  6.109e+00  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  7.159e-01  4.434e-01  0.000e+00  0.000e+00
  15  6.516e+03  0.000e+00  1.946e+00  3.892e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.946e+00  1.948e+00  0.000e+00  0.000e+00
  16  6.516e+03  0.000e+00  7.068e-03  1.414e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.068e-03  7.329e-03  0.000e+00  0.000e+00
  17  6.516e+03  0.000e+00  7.596e-03  1.519e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.596e-03  7.598e-03  0.000e+00  0.000e+00
  18  6.516e+03  0.000e+00  1.081e-06  2.162e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.081e-06  1.084e-06  0.000e+00  0.000e+00
  19  6.516e+03  0.000e+00  8.081e-09  1.616e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  8.081e-09  7.700e-09  0.000e+00  0.000e+00
