iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  64  8.937e-02  2.311e-05  7.807e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.311e-05  3.939e-06  7.804e-06
  65  8.936e-02  2.206e-05  7.780e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.206e-05  3.925e-06  7.777e-06
  66  8.935e-02  2.105e-05  7.754e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.105e-05  3.911e-06  7.751e-06
  67  8.935e-02  2.007e-05  7.728e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.007e-05  3.897e-06  7.725e-06
  68  8.934e-02  1.913e-05  7.702e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.913e-05  3.884e-06  7.699e-06
  69  8.933e-02  1.822e-05  7.677e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.822e-05  3.870e-06  7.674e-06
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  70  8.932e-02  1.735e-05  7.653e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.735e-05  3.857e-06  7.649e-06
  71  8.931e-02  1.652e-05  7.629e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.652e-05  3.844e-06  7.625e-06
  72  8.931e-02  1.572e-05  7.605e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.572e-05  3.832e-06  7.601e-06
  73  8.930e-02  1.495e-05  7.581e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.495e-05  3.819e-06  7.577e-06
  74  8.929e-02  1.421e-05  7.557e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.421e-05  3.807e-06  7.554e-06
  75  8.928e-02  1.350e-05  7.534e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.350e-05  3.795e-06  7.530e-06
  76  8.928e-02  1.283e-05  7.511e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.283e-05  3.782e-06  7.507e-06
  77  8.927e-02  1.249e-05  7.488e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.249e-05  3.770e-06  7.484e-06
  78  8.926e-02  1.225e-05  7.465e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.225e-05  3.758e-06  7.462e-06
  79  8.925e-02  1.200e-05  7.443e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.200e-05  3.747e-06  7.439e-06
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  80  8.925e-02  1.175e-05  7.420e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.175e-05  3.735e-06  7.416e-06
  81  8.924e-02  1.150e-05  7.398e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.150e-05  3.723e-06  7.394e-06
