iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  85  2.01761e-01  6.89286e-09  1.72251e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  6.89286e-09
  86  2.01761e-01  5.70507e-09  1.42214e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  5.70507e-09
  87  2.01761e-01  4.72177e-09  1.17443e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.72177e-09
  88  2.01761e-01  3.90781e-09  9.70101e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  3.90781e-09
  89  2.01761e-01  3.32296e-09  8.01506e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  3.32296e-09
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  90  2.01761e-01  2.83510e-09  6.62364e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.83510e-09
  91  2.01761e-01  2.41664e-09  5.47501e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.41664e-09
  92  2.01761e-01  2.05818e-09  4.52657e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.05818e-09
  93  2.01761e-01  1.75149e-09  3.74326e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.75149e-09
  94  2.01761e-01  1.48937e-09  3.09617e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.48937e-09
  95  2.01761e-01  1.26560e-09  2.56150e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.26560e-09
  96  2.01761e-01  1.07473e-09  2.11961e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.07473e-09
  97  2.01761e-01  9.12086e-10  1.75432e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  9.12086e-10
