*** SOLVE initial ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   7  1.47421e+03  3.70819e+03  9.10681e+02  1.00000e-09  1.00000e-09   0.5000     1
   8  1.42975e+03  1.91884e+03  5.58536e+02  1.00000e-09  1.00000e-09   1.0000     1
   9  1.40226e+03  1.77830e+03  4.93753e+02  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  10  1.27295e+03  1.46900e+03  4.33581e+02  1.00000e-09  1.00000e-09   1.0000     1
  11  1.26715e+03  1.66867e+02  2.06630e+02  1.00000e-09  1.00000e-09   0.2500     1
  12  1.22148e+03  1.34749e+02  1.55870e+02  1.00000e-09  1.00000e-09   1.0000     1
  13  1.21626e+03  1.80208e+02  7.64404e+01  1.00000e-09  1.00000e-09   0.5000     1
  14  1.20429e+03  9.79685e+01  5.76718e+01  1.00000e-09  1.00000e-09   0.5000     1
  15  1.19759e+03  3.45429e+01  3.28419e+01  1.00000e-09  1.00000e-09   0.5000     1
  16  1.19361e+03  1.46880e+01  1.83485e+01  1.00000e-09  1.00000e-09   0.5000     1
  17  1.19146e+03  6.89743e+00  1.06293e+01  1.00000e-09  1.00000e-09   0.5000     1
  18  1.19012e+03  3.76057e+00  6.18136e+00  1.00000e-09  1.00000e-09   0.5000     1
  19  1.18945e+03  1.92609e+00  3.79418e+00  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  20  1.18900e+03  1.18508e+00  2.53851e+00  1.00000e-09  1.00000e-09   0.5000     1
  21  1.18874e+03  6.84372e-01  1.76607e+00  1.00000e-09  1.00000e-09   0.5000     1
  22  1.18853e+03  4.58315e-01  1.28142e+00  1.00000e-09  1.00000e-09   0.5000     1
  23  1.18840e+03  2.74825e-01  9.49972e-01  1.00000e-09  1.00000e-09   0.5000     1
  24  1.18828e+03  1.89092e-01  7.21792e-01  1.00000e-09  1.00000e-09   0.5000     1
  25  1.18820e+03  1.14304e-01  5.58220e-01  1.00000e-09  1.00000e-09   0.5000     1
  26  1.18813e+03  7.91012e-02  4.38953e-01  1.00000e-09  1.00000e-09   0.5000     1
  27  1.18808e+03  4.80243e-02  3.50799e-01  1.00000e-09  1.00000e-09   0.5000     1
  28  1.18803e+03  3.30413e-02  2.83650e-01  1.00000e-09  1.00000e-09   0.5000     1
  29  1.18799e+03  2.04122e-02  2.32481e-01  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  30  1.18795e+03  1.38134e-02  1.92041e-01  1.00000e-09  1.00000e-09   0.5000     1
  31  1.18791e+03  8.96928e-03  1.60149e-01  1.00000e-09  1.00000e-09   0.5000     1
  32  1.18788e+03  5.90638e-03  1.34147e-01  1.00000e-09  1.00000e-09   0.5000     1
  33  1.18785e+03  4.23849e-03  1.12923e-01  1.00000e-09  1.00000e-09   0.5000     1
  34  1.18783e+03  2.69983e-03  9.52015e-02  1.00000e-09  1.00000e-09   0.5000     1
  35  1.18782e+03  2.23864e-03  8.03358e-02  1.00000e-09  1.00000e-09   1.0000     1
  36  1.18780e+03  7.62227e-03  3.15658e-01  1.00000e-09  1.00000e-09   0.5000     1
  37  1.18778e+03  1.27088e-02  2.62743e-01  1.00000e-09  1.00000e-09   0.5000     1
  38  1.18776e+03  1.49937e-02  2.08920e-01  1.00000e-09  1.00000e-09   0.5000     1
  39  1.18775e+03  1.26162e-02  1.69093e-01  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  40  1.18773e+03  9.88622e-03  1.31385e-01  1.00000e-09  1.00000e-09   0.5000     1
  41  1.18772e+03  6.93926e-03  1.04195e-01  1.00000e-09  1.00000e-09   0.5000     1
  42  1.18771e+03  4.86158e-03  8.05034e-02  1.00000e-09  1.00000e-09   0.5000     1
  43  1.18770e+03  3.29813e-03  6.34401e-02  1.00000e-09  1.00000e-09   0.5000     1
  44  1.18770e+03  2.21882e-03  4.90608e-02  1.00000e-09  1.00000e-09   0.5000     1
  45  1.18769e+03  1.53734e-03  3.85828e-02  1.00000e-09  1.00000e-09   0.5000     1
  46  1.18769e+03  1.01677e-03  2.99055e-02  1.00000e-09  1.00000e-09   0.5000     1
