*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   3  2.178e+04  0.000e+00  2.005e+04  4.037e+04  1.000e-03  1.000e-03  1.0000  0.000e+00  0.000e+00  0.000e+00  2.005e+04  5.259e+03  0.000e+00  0.000e+00
   4  1.682e+04  0.000e+00  1.408e+04  3.147e+04  1.000e-03  1.000e-03  0.5000  0.000e+00  0.000e+00  0.000e+00  1.097e+04  4.960e+03  0.000e+00  0.000e+00
   5  1.551e+04  0.000e+00  9.964e+03  1.993e+04  1.000e-04  1.000e-04  1.0000  0.000e+00  0.000e+00  0.000e+00  9.964e+03  1.304e+03  0.000e+00  0.000e+00
   6  1.181e+04  0.000e+00  8.996e+03  1.799e+04  1.000e-04  1.000e-04  0.5000  0.000e+00  0.000e+00  0.000e+00  6.747e+03  3.699e+03  0.000e+00  0.000e+00
   7  9.368e+03  0.000e+00  5.354e+03  1.071e+04  1.000e-04  1.000e-04  0.5000  0.000e+00  0.000e+00  0.000e+00  4.015e+03  2.446e+03  0.000e+00  0.000e+00
   8  7.486e+03  0.000e+00  2.827e+03  5.655e+03  1.000e-05  1.000e-05  1.0000  0.000e+00  0.000e+00  0.000e+00  2.827e+03  1.881e+03  0.000e+00  0.000e+00
   9  6.998e+03  0.000e+00  9.706e+02  1.941e+03  1.000e-05  1.000e-05  0.5000  0.000e+00  0.000e+00  0.000e+00  7.280e+02  4.887e+02  0.000e+00  0.000e+00
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  6.620e+03  0.000e+00  4.768e+02  9.536e+02  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  4.768e+02  3.776e+02  0.000e+00  0.000e+00
  11  6.595e+03  0.000e+00  1.059e+02  2.119e+02  1.000e-06  1.000e-06  0.2500  0.000e+00  0.000e+00  0.000e+00  4.635e+01  2.499e+01  0.000e+00  0.000e+00
  12  6.518e+03  0.000e+00  7.758e+01  1.552e+02  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  7.758e+01  7.697e+01  0.000e+00  0.000e+00
  13  6.518e+03  0.000e+00  2.503e+00  5.005e+00  1.000e-07  1.000e-07  0.1250  0.000e+00  0.000e+00  0.000e+00  5.866e-01  4.290e-01  0.000e+00  0.000e+00
  14  6.517e+03  0.000e+00  1.498e+00  2.996e+00  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  1.498e+00  5.439e-01  0.000e+00  0.000e+00
  15  6.516e+03  0.000e+00  2.324e+00  4.648e+00  1.000e-08  1.000e-08  0.2500  0.000e+00  0.000e+00  0.000e+00  1.017e+00  8.880e-01  0.000e+00  0.000e+00
  16  6.516e+03  0.000e+00  6.305e-01  1.261e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.305e-01  6.317e-01  0.000e+00  0.000e+00
  17  6.516e+03  0.000e+00  2.414e-03  4.827e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.414e-03  2.413e-03  0.000e+00  0.000e+00
  18  6.516e+03  0.000e+00  1.077e-06  2.153e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.077e-06  1.078e-06  0.000e+00  0.000e+00
  19  6.516e+03  0.000e+00  2.005e-08  4.009e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.005e-08  1.971e-08  0.000e+00  0.000e+00
