*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  56  2.046e+03  5.907e-09  4.707e-12  1.000e+03  1.000e+03  0.0312  0.000e+00  1.448e-13  9.095e-13
  57  2.046e+03  5.900e-09  4.702e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.176e-15  4.093e-12
  58  2.046e+03  5.899e-09  4.738e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.369e-13  -1.933e-11
  59  2.046e+03  5.880e-09  4.686e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.144e-15  -9.095e-12
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  60  2.046e+03  5.878e-09  4.722e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.361e-13  -3.797e-11
  61  2.046e+03  5.895e-09  4.698e-12  1.000e+03  1.000e+03  0.0312  0.000e+00  1.445e-13  4.547e-13
  62  2.046e+03  5.893e-09  4.696e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.164e-15  -1.319e-11
  63  2.046e+03  5.890e-09  4.732e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.366e-13  -3.160e-11
  64  2.046e+03  5.858e-09  4.668e-12  1.000e+04  1.000e+04  0.0078  0.000e+00  3.633e-14  5.002e-12
  65  2.046e+03  5.854e-09  4.701e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.351e-13  -1.819e-12
  66  2.046e+03  5.866e-09  4.675e-12  1.000e+03  1.000e+03  0.0156  0.000e+00  7.248e-14  2.956e-12
  67  2.046e+03  5.865e-09  4.674e-12  1.000e+04  1.000e+04  0.0078  0.000e+00  3.637e-14  1.819e-12
  68  2.046e+03  5.859e-09  4.707e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.354e-13  -4.775e-11
  69  2.046e+03  5.854e-09  4.664e-12  1.000e+03  1.000e+03  0.0156  0.000e+00  7.230e-14  2.046e-12
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  70  2.046e+03  5.852e-09  4.662e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.097e-15  -5.457e-12
  71  2.046e+03  5.847e-09  4.696e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.348e-13  -5.912e-11
